                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                0.80665,                0.55887,                 1.0485,                0.56376,                0.49709,                0.50217,                0.22286,                 2.4887,                 2.6054,                 2.4033,             0.00010666,             0.00010666,             0.00010666
                     90,                 0.8153,                0.54699,                 1.0284,                0.51692,                 0.5506,                0.51477,                0.22958,                 2.4543,                 2.5217,                 2.3361,             9.9047e-05,             9.9047e-05,             9.9047e-05
                     91,                0.79248,                0.51847,                 1.0346,                0.54432,                0.52876,                0.50494,                0.22088,                  2.467,                 2.5362,                 2.3758,             9.1434e-05,             9.1434e-05,             9.1434e-05
                     92,                0.78993,                0.50042,                  1.056,                0.54647,                 0.5267,                0.50683,                0.22351,                 2.4665,                 2.6454,                 2.3712,             8.3821e-05,             8.3821e-05,             8.3821e-05
                     93,                 0.7859,                0.49026,                 1.0501,                 0.5437,                0.53273,                0.51685,                0.22365,                 2.4201,                 2.5715,                 2.3455,             7.6208e-05,             7.6208e-05,             7.6208e-05
                     94,                0.73577,                0.48129,                 1.0018,                 0.5524,                0.55093,                0.51664,                0.22863,                 2.4232,                 2.6672,                 2.3377,             6.8595e-05,             6.8595e-05,             6.8595e-05
                     95,                0.74161,                0.46938,                  1.022,                0.55573,                0.50879,                0.48787,                 0.2104,                 2.4441,                 2.6958,                 2.3626,             6.0982e-05,             6.0982e-05,             6.0982e-05
                     96,                 0.7331,                0.47271,                 1.0192,                0.54824,                0.51753,                0.50029,                0.21915,                 2.4157,                 2.7758,                 2.3085,             5.3369e-05,             5.3369e-05,             5.3369e-05
                     97,                0.72796,                0.46015,                 1.0132,                0.52709,                 0.5219,                0.50305,                0.22728,                 2.4121,                 2.7671,                 2.2926,             4.5756e-05,             4.5756e-05,             4.5756e-05
                     98,                0.70507,                0.45925,                 1.0071,                0.52731,                0.52051,                0.50564,                0.22593,                 2.4172,                 2.7389,                 2.3213,             3.8142e-05,             3.8142e-05,             3.8142e-05
                     99,                0.72285,                0.47258,                  1.026,                0.57661,                0.49542,                0.50615,                0.22242,                 2.4121,                 2.6263,                  2.315,             3.0529e-05,             3.0529e-05,             3.0529e-05
                    100,                 0.7489,                0.50731,                 1.0272,                0.58226,                0.48542,                0.50784,                0.22389,                 2.4118,                 2.6645,                 2.3151,             2.2916e-05,             2.2916e-05,             2.2916e-05
